City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,21.25,28,75,6.17,CL,1707240330
1,olonkinbyen,70.9221,-8.7187,-1.16,91,78,9.69,SJ,1707240321
2,nagqu,31.5,92.0,-11.01,27,0,0.42,CN,1707240416
3,roslavl',53.9528,32.8639,-8.21,96,100,2.08,RU,1707240416
4,muhos,64.808,25.9931,-19.57,100,74,1.66,FI,1707240416
5,birzebbuga,35.8258,14.5269,15.38,88,20,2.57,MT,1707240417
6,kodiak,57.79,-152.4072,-4.27,93,0,2.06,US,1707240417
7,ribeira grande,38.5167,-28.7,17.65,100,40,5.81,PT,1707240417
8,bethel,41.3712,-73.414,4.54,53,0,4.12,US,1707240219
9,bredasdorp,-34.5322,20.0403,25.26,45,46,9.1,ZA,1707240417
10,port-aux-francais,-49.35,70.2167,5.7,84,100,11.37,TF,1707240356
11,mananjary,-21.2167,48.3333,24.48,91,100,2.78,MG,1707240418
12,waitangi,-43.9535,-176.5597,17.12,94,54,1.79,NZ,1707240401
13,iskateley,67.6803,53.1512,-31.1,100,62,1.34,RU,1707240233
14,whitehorse,60.7161,-135.0538,-17.57,76,100,1.54,CA,1707240345
15,grytviken,-54.2811,-36.5092,11.44,48,68,3.03,GS,1707240419
16,port elizabeth,-33.918,25.5701,23.39,86,100,4.63,ZA,1707240419
17,queenstown,-31.8976,26.8753,26.92,41,64,6.65,ZA,1707240419
18,columbus,39.9612,-82.9988,7.15,59,40,3.6,US,1707239806
19,margaret river,-33.95,115.0667,15.32,74,20,5.01,AU,1707240419
20,adamstown,-25.066,-130.1015,24.77,81,25,1.48,PN,1707240223
21,lerwick,60.1545,-1.1494,2.0,59,99,11.25,GB,1707240420
22,anadyr,64.75,177.4833,-23.72,77,40,5.0,RU,1707240362
23,temuco,-38.7333,-72.6,25.87,37,67,3.56,CL,1707240420
24,youssoufia,32.2463,-8.5294,21.58,20,85,4.48,MA,1707240420
25,veraval,20.9,70.3667,22.98,72,1,5.35,IN,1707240421
26,verkhnevilyuysk,63.4453,120.3167,-30.22,100,97,0.7,RU,1707240421
27,pathein,16.7833,94.7333,23.31,68,0,5.23,MM,1707240183
28,ancud,-41.8697,-73.8203,15.66,89,100,4.6,CL,1707240314
29,khatima,28.9167,79.9667,12.0,50,0,2.02,IN,1707240421
30,gaigeturi,33.4644,126.3183,7.03,61,75,4.12,KR,1707240422
31,talnakh,69.4865,88.3972,-26.29,89,23,3.01,RU,1707240212
32,albany,42.6001,-73.9662,1.8,60,7,0.89,US,1707240422
33,parauapebas,-6.0675,-49.9022,29.99,78,75,0.0,BR,1707240422
34,siwa oasis,29.2041,25.5195,17.12,43,0,2.41,EG,1707240422
35,salalah,17.0151,54.0924,23.08,55,1,0.94,OM,1707240423
36,enewetak,11.3474,162.3373,26.4,83,84,8.39,MH,1707240423
37,gao,16.6362,1.637,26.9,8,79,5.63,ML,1707240423
38,blackmans bay,-43.0167,147.3167,13.07,72,20,1.85,AU,1707240423
39,korkuteli,37.065,30.1957,10.78,49,4,0.3,TR,1707240423
40,jabor,5.921,169.6434,27.61,78,97,6.95,MH,1707240424
41,bandipura,34.4167,74.65,-4.98,70,6,3.65,IN,1707240424
42,howard springs,-12.497,131.047,27.95,95,69,3.27,AU,1707240424
43,papatowai,-46.5619,169.4708,11.46,96,100,4.54,NZ,1707240424
44,georgetown,5.4112,100.3354,28.86,81,20,2.06,MY,1707240425
45,stanley,54.868,-1.6985,6.77,74,20,5.14,GB,1707240266
46,muhoroni,-0.1541,35.1988,20.95,59,73,1.32,KE,1707240426
47,ta`u,-14.2336,-169.5144,26.29,90,100,4.56,AS,1707240426
48,nurlat,54.4277,50.8051,-2.26,99,100,1.75,RU,1707240426
49,lexington park,38.2668,-76.4538,5.91,47,0,6.69,US,1707240287
50,ust-nera,64.5667,143.2,-34.13,90,29,0.69,RU,1707240426
51,forster,-32.1667,152.5167,19.65,100,100,6.29,AU,1707240427
52,fort bragg,35.139,-79.006,10.92,47,10,3.13,US,1707240427
53,yellowknife,62.456,-114.3525,-21.44,84,100,4.63,CA,1707240427
